NC,Bezeichnung,NUF,bezeichnung_no_special_ch,concat_text
111,wohnräume,NUF_1,wohnraume,wohnräume | wohnraume
11111,wohnraum/ schlafraum,NUF_1,wohnraum/ schlafraum,wohnraum/ schlafraum | wohnraum/ schlafraum
11112,wohnraum/ schlafraum mit rlt 1,NUF_1,wohnraum/ schlafraum mit rlt 1,wohnraum/ schlafraum mit rlt 1 | wohnraum/ schlafraum mit rlt 1
11121,küche in wohnung,NUF_1,kuche in wohnung,küche in wohnung | kuche in wohnung
11122,küche in wohnung mit rlt 1,NUF_1,kuche in wohnung mit rlt 1,küche in wohnung mit rlt 1 | kuche in wohnung mit rlt 1
11131,diele,NUF_1,diele,diele | diele
11132,diele mit rlt 1,NUF_1,diele mit rlt 1,diele mit rlt 1 | diele mit rlt 1
112,"internate, wohnheime, beherbergungsstätten",NUF_1,"internate, wohnheime, beherbergungsstatten","internate, wohnheime, beherbergungsstätten | internate, wohnheime, beherbergungsstatten"
11211,ein-/zweibettzimmer,NUF_1,ein-/zweibettzimmer,ein-/zweibettzimmer | ein-/zweibettzimmer
11212,ein-/zweibettzimmer mit waschtisch,NUF_1,ein-/zweibettzimmer mit waschtisch,ein-/zweibettzimmer mit waschtisch | ein-/zweibettzimmer mit waschtisch
11213,ein-/zweibettzimmer mit rlt 1,NUF_1,ein-/zweibettzimmer mit rlt 1,ein-/zweibettzimmer mit rlt 1 | ein-/zweibettzimmer mit rlt 1
11214,ein-/zweibettzimmer mit waschtisch und rlt 1,NUF_1,ein-/zweibettzimmer mit waschtisch und rlt 1,ein-/zweibettzimmer mit waschtisch und rlt 1 | ein-/zweibettzimmer mit waschtisch und rlt 1
11221,mehrbettwohn-/ schlafraum,NUF_1,mehrbettwohn-/ schlafraum,mehrbettwohn-/ schlafraum | mehrbettwohn-/ schlafraum
11222,mehrbettwohn-/ schlafraum mit rlt 1,NUF_1,mehrbettwohn-/ schlafraum mit rlt 1,mehrbettwohn-/ schlafraum mit rlt 1 | mehrbettwohn-/ schlafraum mit rlt 1
121,aufenthaltsräume,NUF_1,aufenthaltsraume,aufenthaltsräume | aufenthaltsraume
12111,aufenthaltsraum,NUF_1,aufenthaltsraum,aufenthaltsraum | aufenthaltsraum
12112,aufenthaltsraum mit rlt 1,NUF_1,aufenthaltsraum mit rlt 1,aufenthaltsraum mit rlt 1 | aufenthaltsraum mit rlt 1
12113,aufenthaltsraum raumklasse ii (op-bereich),NUF_1,aufenthaltsraum raumklasse ii (op-bereich),aufenthaltsraum raumklasse ii (op-bereich) | aufenthaltsraum raumklasse ii (op-bereich)
12121,aufenthaltsraum mit teeküche,NUF_1,aufenthaltsraum mit teekuche,aufenthaltsraum mit teeküche | aufenthaltsraum mit teekuche
12122,aufenthaltsraum mit teeküche und  rlt 1,NUF_1,aufenthaltsraum mit teekuche und  rlt 1,aufenthaltsraum mit teeküche und  rlt 1 | aufenthaltsraum mit teekuche und  rlt 1
12123,aufenthaltsraum mit teeküche und  rlt 3,NUF_1,aufenthaltsraum mit teekuche und  rlt 3,aufenthaltsraum mit teeküche und  rlt 3 | aufenthaltsraum mit teekuche und  rlt 3
122,bereitschaftsräume,NUF_1,bereitschaftsraume,bereitschaftsräume | bereitschaftsraume
12211,bereitschaftsraum,NUF_1,bereitschaftsraum,bereitschaftsraum | bereitschaftsraum
12212,bereitschaftsraum mit waschtisch,NUF_1,bereitschaftsraum mit waschtisch,bereitschaftsraum mit waschtisch | bereitschaftsraum mit waschtisch
12213,bereitschaftsraum mit rlt 1,NUF_1,bereitschaftsraum mit rlt 1,bereitschaftsraum mit rlt 1 | bereitschaftsraum mit rlt 1
12214,bereitschaftsraum mit waschtisch und rlt 1,NUF_1,bereitschaftsraum mit waschtisch und rlt 1,bereitschaftsraum mit waschtisch und rlt 1 | bereitschaftsraum mit waschtisch und rlt 1
12221,bereitschaftsraum mit sicherheitsanforderungen und rlt 1,NUF_1,bereitschaftsraum mit sicherheitsanforderungen und rlt 1,bereitschaftsraum mit sicherheitsanforderungen und rlt 1 | bereitschaftsraum mit sicherheitsanforderungen und rlt 1
123,kindertagesstätte,NUF_1,kindertagesstatte,kindertagesstätte | kindertagesstatte
12311,kinderspielraum,NUF_1,kinderspielraum,kinderspielraum | kinderspielraum
12312,kinderspielraum mit rlt 1,NUF_1,kinderspielraum mit rlt 1,kinderspielraum mit rlt 1 | kinderspielraum mit rlt 1
12321,kleinkindschlafen,NUF_1,kleinkindschlafen,kleinkindschlafen | kleinkindschlafen
12322,kleinkindschlafen mit rlt 1,NUF_1,kleinkindschlafen mit rlt 1,kleinkindschlafen mit rlt 1 | kleinkindschlafen mit rlt 1
131,pausenräume,NUF_1,pausenraume,pausenräume | pausenraume
13111,pausenfläche,NUF_1,pausenflache,pausenfläche | pausenflache
13112,pausenfläche mit rlt 1,NUF_1,pausenflache mit rlt 1,pausenfläche mit rlt 1 | pausenflache mit rlt 1
13121,teeküche (ohne aufenthalt),NUF_1,teekuche (ohne aufenthalt),teeküche (ohne aufenthalt) | teekuche (ohne aufenthalt)
13122,teeküche (ohne aufenthalt) mit rlt 1,NUF_1,teekuche (ohne aufenthalt) mit rlt 1,teeküche (ohne aufenthalt) mit rlt 1 | teekuche (ohne aufenthalt) mit rlt 1
132,pausenhallen/ wandelhallen,NUF_1,pausenhallen/ wandelhallen,pausenhallen/ wandelhallen | pausenhallen/ wandelhallen
13211,pausenhalle,NUF_1,pausenhalle,pausenhalle | pausenhalle
13212,pausenhalle mit rlt 1,NUF_1,pausenhalle mit rlt 1,pausenhalle mit rlt 1 | pausenhalle mit rlt 1
13221,wandelhalle,NUF_1,wandelhalle,wandelhalle | wandelhalle
